family,group,target_budget,opponent,direction,from_level,to_level,from_experiment_id,to_experiment_id,samples_per_point,from_A_win_rate,to_A_win_rate,delta_A_win_rate,from_mean_rounds,to_mean_rounds,delta_mean_rounds,from_budget_A,to_budget_A,delta_budget_A,from_budget_B,to_budget_B,delta_budget_B,from_A_raw_dead,to_A_raw_dead,delta_A_raw_dead,from_A_raw_wounded,to_A_raw_wounded,delta_A_raw_wounded,from_B_raw_dead,to_B_raw_dead,delta_B_raw_dead,from_B_raw_wounded,to_B_raw_wounded,delta_B_raw_wounded,from_A_bench_economic_loss_rate,to_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate
E-add,archer,120000,archer,A-B,10,20,cbb3b5dcafd321d6d3ba4442,f1ce8012d633c16ae9df75a1,2000,1,1,0,2,2,0,131980,143980,12000,119980,119980,0,71.652,0,-71.652,2842.104,3811.623,969.519,1048.3525,1128.9485,80.596,665.6475,585.0515,-80.596,0.050015684194575,0.046316884289485,-0.00369879990509
E-add,archer,120000,archer,A-B,20,35,f1ce8012d633c16ae9df75a1,128cfe7ecb1eab017a3f2942,2000,1,1,0,2,2,0,143980,161980,18000,119980,119980,0,0,0,0,3811.623,4476.694,665.071,1128.9485,1238.1015,109.153,585.0515,475.8985,-109.153,0.046316884289485,0.037825410544512,-0.008491473744973
E-add,archer,120000,archer,A-B,35,50,128cfe7ecb1eab017a3f2942,fbffeae3c04c2292245bd72f,2000,1,1,0,2,2,0,161980,179980,18000,119980,119980,0,0,0,0,4476.694,4831.7205,355.0265,1238.1015,1387.1755,149.074,475.8985,326.8245,-149.074,0.037825410544512,0.031344677186354,-0.006480733358158
E-add,archer,120000,archer,A-B,50,100,fbffeae3c04c2292245bd72f,8ae5195c179114fdd0773917,2000,1,1,0,2,2,0,179980,239980,60000,119980,119980,0,0,0,0,4831.7205,5341.871,510.1505,1387.1755,1713.997,326.8215,326.8245,0.003,-326.8215,0.031344677186354,0.019486915576298,-0.011857761610056
E-add,archer,120000,archer,B-A,0,5,00dd071ec3d5e4240f071c34,0dabb2fa7f1509548b46ae83,2000,0,0,0,2,2.0035,0.0034999999999998,119980,125980,6000,119980,119980,0,963.591,898.8465,-64.7445,750.409,1415.1535,664.7445,0,61.8975,61.8975,1714,1652.1025,-61.8975,0.050052508751459,0.049947888553739,-0.00010462019772
E-add,archer,120000,archer,B-A,5,10,0dabb2fa7f1509548b46ae83,cbb3b5dcafd321d6d3ba4442,2000,0,0,0,2.0035,2,-0.0034999999999998,125980,131980,6000,119980,119980,0,898.8465,1203.7915,304.945,1415.1535,1709.8975,294.744,61.8975,128.6955,66.798,1652.1025,1585.3045,-66.798,0.049947888553739,0.05000556902561,5.7680471870998E-5
E-add,archer,120000,archer,B-A,10,20,cbb3b5dcafd321d6d3ba4442,f1ce8012d633c16ae9df75a1,2000,0,0.9995,0.9995,2,2.9995,0.9995,131980,143980,12000,119980,119980,0,1203.7915,2129.5235,925.732,1709.8975,1953.149,243.2515,128.6955,1713.2765,1584.581,1585.3045,0.7235,-1584.581,0.05000556902561,0.049596749548548,-0.000408819477062
E-add,archer,120000,archer,B-A,20,35,f1ce8012d633c16ae9df75a1,128cfe7ecb1eab017a3f2942,2000,0.9995,1,0.00049999999999994,2.9995,3,0.00050000000000017,143980,161980,18000,119980,119980,0,2129.5235,2067.5245,-61.999,1953.149,3085.4195,1132.2705,1713.2765,1714,0.72350000000006,0.7235,0,-0.7235,0.049596749548548,0.043581182862082,-0.006015566686466
E-add,archer,120000,archer,B-A,35,50,128cfe7ecb1eab017a3f2942,fbffeae3c04c2292245bd72f,2000,1,1,0,3,2.835,-0.165,161980,179980,18000,119980,119980,0,2067.5245,1623.186,-444.3385,3085.4195,3931.821,846.4015,1714,1533.8745,-180.1255,0,180.1255,180.1255,0.043581182862082,0.036020196688521,-0.007560986173561
E-add,archer,120000,archer,B-A,50,100,fbffeae3c04c2292245bd72f,8ae5195c179114fdd0773917,2000,1,1,0,2.835,2,-0.835,179980,239980,60000,119980,119980,0,1623.186,573.864,-1049.322,3931.821,4768.6365,836.8155,1533.8745,877.322,-656.5525,180.1255,836.678,656.5525,0.036020196688521,0.019478873239437,-0.016541323449084
